date,Red & White Cabbage,Romaine,Kale,Baby Spinach,Wholemeal Wrap,Spinach Wrap,Tortilla Wrap,Tomato Wrap,Cauliflower Rice,Quinoa,Pea Sprouts,Pomelo,Radish Pickles,Mixed Seeds,Sesame Seeds,Furikake,Crushed Peanuts,Cucumber Pickles,Lime Wedge,Jalapeno,Fresh Herbs,Grated Eggs,Tofu,Raisins,Mandarin Orange,Green Apple,Grapes,Croutons,Soba Noodles,Roasted Pumpkins,Potato,Black Beans,Chickpeas,Edamame,Broccoli,Sweet Corn,French Beans,Olives,Red Onions,Cherry Tomatoes,Capsicum,Cucumbers,Carrot,Beetroot,Sous-vide Chicken,Sous-vide Salmon,Super Protein Patty,Thai Asparagus,Toasted Almonds,Walnuts,Bacon Bits,Roasted Lemongrass Chicken,Tandoori Chicken,Roasted Chicken,Seared Tuna,Smoked Salmon,Grilled Halloumi Cheese,Feta,Parmesan,Cheddar,Soft Boiled Eggs,Whole Eggs,Veggie Patty,Falafel,Grilled Tofu,Avocado,Roasted Brussel Sprouts,Warm Baked Mushrooms,Arabian Spiced Vinaigrette,Indian Spiced Yoghurt,Japanese Miso,Korean Chilli Vinaigrette,Sesame Lime,Thai Turmeric,Wasabi Honey Soy,Balsamic Vinagrette,Basil Pesto,Cashew Mint,Classic Caesar,Honey Dijon,Lemon & Oil,Mixed Berries Vinaigrette,Olive Oil,Salt & Pepper,Smoked Pimento,Smoky Ranch,Tabbasco Sauce
2014-05-28,69,60,36,22,20,30,43,22,39,67,70,64,87,62,80,19,31,72,44,43,48,82,28,67,71,44,27,64,65,45,63,45,71,30,56,62,15,68,39,22,18,26,49,30,67,36,21,39,29,56,70,64,87,62,80,19,31,72,44,43,48,82,28,67,71,31,72,44,43,48,82,28,67,71,44,27,64,65,45,63,45,71,30,56,62,15,68
2014-05-29,84,51,37,21,23,24,63,21,60,78,67,60,75,52,81,30,32,88,50,52,36,82,25,72,77,43,17,96,67,37,44,46,52,24,66,94,34,80,37,34,25,31,40,27,73,68,17,49,28,65,67,60,75,52,81,30,32,88,50,52,36,82,25,72,77,32,88,50,52,36,82,25,72,77,43,17,96,67,37,44,46,52,24,66,94,34,80
2014-05-30,71,67,31,29,25,31,67,29,52,81,78,70,96,59,93,32,27,86,45,48,55,79,25,69,86,53,17,96,69,44,71,59,59,31,74,97,30,98,38,29,22,48,51,34,74,71,24,52,28,68,78,70,96,59,93,32,27,86,45,48,55,79,25,69,86,27,86,45,48,55,79,25,69,86,53,17,96,69,44,71,59,59,31,74,97,30,98
2014-05-31,106,60,37,20,18,29,88,20,65,91,82,72,102,64,111,26,29,103,45,55,57,80,28,61,78,55,27,86,86,56,63,44,63,29,65,94,27,90,54,32,34,47,59,30,92,63,21,51,35,60,82,72,102,64,111,26,29,103,45,55,57,80,28,61,78,29,103,45,55,57,80,28,61,78,55,27,86,86,56,63,44,63,29,65,94,27,90
2014-06-01,110,76,45,25,22,28,77,25,54,87,91,83,99,66,130,31,53,109,64,54,54,107,41,78,99,67,29,127,93,47,84,48,83,28,98,106,40,106,52,41,26,60,67,40,110,64,17,74,35,77,91,83,99,66,130,31,53,109,64,54,54,107,41,78,99,53,109,64,54,54,107,41,78,99,67,29,127,93,47,84,48,83,28,98,106,40,106
2014-06-02,67,48,44,17,16,23,42,17,44,62,57,51,64,43,76,25,28,74,27,36,43,68,31,55,74,31,20,85,65,45,46,36,76,23,78,70,26,77,33,26,18,42,41,27,75,40,16,39,21,62,57,51,64,43,76,25,28,74,27,36,43,68,31,55,74,28,74,27,36,43,68,31,55,74,31,20,85,65,45,46,36,76,23,78,70,26,77
2014-06-03,85,53,34,24,16,24,55,24,46,66,52,54,85,50,110,20,28,88,41,43,45,71,25,64,73,40,24,100,57,30,45,38,74,24,61,72,29,90,37,41,20,37,59,28,91,58,19,38,22,54,52,54,85,50,110,20,28,88,41,43,45,71,25,64,73,28,88,41,43,45,71,25,64,73,40,24,100,57,30,45,38,74,24,61,72,29,90
2014-06-04,72,63,22,20,14,19,54,20,50,75,73,71,75,70,94,21,30,75,48,63,37,70,25,52,75,50,33,77,82,38,61,48,64,19,54,72,26,84,40,27,26,29,60,22,76,56,26,51,25,76,73,71,75,70,94,21,30,75,48,63,37,70,25,52,75,30,75,48,63,37,70,25,52,75,50,33,77,82,38,61,48,64,19,54,72,26,84
2014-06-05,88,55,31,15,21,28,64,15,52,77,56,71,95,59,91,23,38,94,44,40,26,68,33,82,81,54,20,88,80,44,54,42,77,28,67,84,30,81,40,30,20,41,47,31,96,61,17,51,29,72,56,71,95,59,91,23,38,94,44,40,26,68,33,82,81,38,94,44,40,26,68,33,82,81,54,20,88,80,44,54,42,77,28,67,84,30,81
2014-06-06,70,77,40,26,23,37,71,26,45,83,84,79,111,58,85,26,39,89,48,48,47,96,22,67,100,40,26,90,66,55,63,54,73,37,72,77,35,92,49,25,30,39,64,26,69,52,18,63,28,78,84,79,111,58,85,26,39,89,48,48,47,96,22,67,100,39,89,48,48,47,96,22,67,100,40,26,90,66,55,63,54,73,37,72,77,35,92
2014-06-07,83,62,33,27,15,27,73,27,71,89,62,100,90,69,87,28,37,75,46,48,39,102,40,81,99,56,23,118,73,44,73,63,81,27,77,94,35,108,55,31,32,47,59,43,94,70,26,44,31,72,62,100,90,69,87,28,37,75,46,48,39,102,40,81,99,37,75,46,48,39,102,40,81,99,56,23,118,73,44,73,63,81,27,77,94,35,108
2014-06-08,87,75,52,27,20,33,67,27,62,89,99,98,89,86,101,35,47,109,38,60,49,100,38,91,102,54,28,109,88,55,68,53,81,33,58,100,30,107,49,33,26,50,85,31,116,98,30,67,28,78,99,98,89,86,101,35,47,109,38,60,49,100,38,91,102,47,109,38,60,49,100,38,91,102,54,28,109,88,55,68,53,81,33,58,100,30,107
2014-06-09,51,50,33,25,15,18,48,25,50,71,56,67,70,41,71,21,19,79,29,39,20,53,22,53,70,43,27,83,48,35,44,32,62,18,45,65,27,63,24,25,28,36,36,22,52,44,24,46,21,59,56,67,70,41,71,21,19,79,29,39,20,53,22,53,70,19,79,29,39,20,53,22,53,70,43,27,83,48,35,44,32,62,18,45,65,27,63
2014-06-10,80,57,33,22,21,29,57,22,40,65,76,77,96,46,92,20,40,88,47,38,37,101,25,71,89,49,25,88,77,43,60,55,60,29,66,61,23,75,38,25,16,37,43,28,81,50,24,52,20,63,76,77,96,46,92,20,40,88,47,38,37,101,25,71,89,40,88,47,38,37,101,25,71,89,49,25,88,77,43,60,55,60,29,66,61,23,75
2014-06-11,64,55,42,21,17,33,56,21,52,70,65,73,101,73,76,29,30,85,36,47,39,73,28,62,96,53,22,86,70,40,61,45,53,33,72,78,22,86,38,34,19,40,63,33,77,49,19,57,25,54,65,73,101,73,76,29,30,85,36,47,39,73,28,62,96,30,85,36,47,39,73,28,62,96,53,22,86,70,40,61,45,53,33,72,78,22,86
2014-06-12,70,69,44,24,24,33,65,24,53,66,73,89,70,74,101,29,24,93,36,39,51,74,26,52,76,45,18,66,68,43,50,51,66,33,72,64,35,75,57,35,31,39,55,34,88,69,21,34,25,68,73,89,70,74,101,29,24,93,36,39,51,74,26,52,76,24,93,36,39,51,74,26,52,76,45,18,66,68,43,50,51,66,33,72,64,35,75
2014-06-13,88,69,33,22,21,33,72,22,62,67,72,57,104,74,107,26,35,88,44,40,39,91,37,88,90,45,31,101,74,52,62,51,89,33,72,77,44,84,58,36,22,37,65,47,102,64,15,48,31,64,72,57,104,74,107,26,35,88,44,40,39,91,37,88,90,35,88,44,40,39,91,37,88,90,45,31,101,74,52,62,51,89,33,72,77,44,84
2014-06-14,81,61,48,35,18,30,59,35,56,84,89,92,110,64,94,28,43,106,48,74,36,98,38,94,96,50,28,124,78,34,66,46,90,30,80,84,27,87,58,33,14,36,55,29,98,71,15,60,32,84,89,92,110,64,94,28,43,106,48,74,36,98,38,94,96,43,106,48,74,36,98,38,94,96,50,28,124,78,34,66,46,90,30,80,84,27,87
2014-06-15,91,64,49,24,20,39,75,24,72,104,101,89,92,61,98,33,41,101,49,64,49,102,31,94,95,68,26,110,88,43,60,62,93,39,74,113,43,117,51,25,36,39,75,38,117,64,37,79,34,80,101,89,92,61,98,33,41,101,49,64,49,102,31,94,95,41,101,49,64,49,102,31,94,95,68,26,110,88,43,60,62,93,39,74,113,43,117
2014-06-16,60,48,28,19,12,22,44,19,41,51,62,63,77,50,68,18,29,74,38,29,41,80,23,57,51,34,17,73,55,27,44,36,70,22,44,66,17,67,41,22,23,27,47,18,76,45,15,50,32,49,62,63,77,50,68,18,29,74,38,29,41,80,23,57,51,29,74,38,29,41,80,23,57,51,34,17,73,55,27,44,36,70,22,44,66,17,67
2014-06-17,99,69,31,25,16,29,46,25,46,59,70,86,85,80,76,25,29,102,33,46,39,72,23,75,78,37,30,81,56,43,55,36,78,29,65,74,25,81,40,43,20,39,39,36,88,58,23,56,31,49,70,86,85,80,76,25,29,102,33,46,39,72,23,75,78,29,102,33,46,39,72,23,75,78,37,30,81,56,43,55,36,78,29,65,74,25,81
2014-06-18,97,61,33,18,19,15,66,18,49,61,74,54,64,57,91,23,38,79,35,52,34,84,30,58,68,51,20,79,70,32,56,47,71,15,63,84,37,82,37,22,17,35,51,28,76,62,14,44,27,54,74,54,64,57,91,23,38,79,35,52,34,84,30,58,68,38,79,35,52,34,84,30,58,68,51,20,79,70,32,56,47,71,15,63,84,37,82
2014-06-19,81,48,45,28,25,35,68,28,54,73,85,71,76,70,84,23,39,78,45,49,38,72,29,76,80,45,21,121,75,36,62,52,73,35,83,73,36,80,41,30,21,39,52,26,84,58,20,59,31,87,85,71,76,70,84,23,39,78,45,49,38,72,29,76,80,39,78,45,49,38,72,29,76,80,45,21,121,75,36,62,52,73,35,83,73,36,80
2014-06-20,84,55,33,23,17,22,55,23,48,81,78,72,110,63,92,27,30,101,41,52,30,76,17,80,88,45,24,96,77,39,66,45,70,22,58,86,38,77,47,28,27,41,41,27,75,52,18,51,42,77,78,72,110,63,92,27,30,101,41,52,30,76,17,80,88,30,101,41,52,30,76,17,80,88,45,24,96,77,39,66,45,70,22,58,86,38,77
2014-06-21,101,70,36,24,21,19,71,24,60,82,73,90,109,70,111,34,52,98,46,50,41,90,37,72,95,52,36,91,92,41,68,39,79,19,76,90,37,95,57,37,23,36,60,45,86,90,36,58,43,75,73,90,109,70,111,34,52,98,46,50,41,90,37,72,95,52,98,46,50,41,90,37,72,95,52,36,91,92,41,68,39,79,19,76,90,37,95
2014-06-22,97,59,47,20,23,22,80,20,66,100,73,72,113,70,106,31,45,116,55,71,59,107,41,81,100,55,25,109,83,42,85,45,104,22,82,108,31,109,55,41,30,37,69,45,107,66,32,64,42,81,73,72,113,70,106,31,45,116,55,71,59,107,41,81,100,45,116,55,71,59,107,41,81,100,55,25,109,83,42,85,45,104,22,82,108,31,109
2014-06-23,58,58,30,15,15,15,44,15,42,55,54,58,77,36,73,23,28,65,41,33,29,70,25,74,62,38,24,60,60,32,46,37,74,15,57,68,26,69,50,24,18,37,38,30,65,41,17,43,27,52,54,58,77,36,73,23,28,65,41,33,29,70,25,74,62,28,65,41,33,29,70,25,74,62,38,24,60,60,32,46,37,74,15,57,68,26,69
2014-06-24,64,66,38,28,17,24,51,28,36,65,55,66,79,52,92,19,35,80,26,35,53,72,26,63,74,38,17,81,67,42,56,35,75,24,69,66,28,80,45,31,22,30,52,22,104,48,24,51,22,59,55,66,79,52,92,19,35,80,26,35,53,72,26,63,74,35,80,26,35,53,72,26,63,74,38,17,81,67,42,56,35,75,24,69,66,28,80
2014-06-25,81,58,32,25,20,19,47,25,47,73,73,64,74,67,92,27,38,81,40,40,34,78,28,70,98,48,22,71,71,36,51,53,77,19,69,74,15,66,46,30,19,34,56,36,70,53,23,44,18,66,73,64,74,67,92,27,38,81,40,40,34,78,28,70,98,38,81,40,40,34,78,28,70,98,48,22,71,71,36,51,53,77,19,69,74,15,66
2014-06-26,82,64,43,21,24,33,65,21,57,75,69,82,101,63,98,28,37,94,37,47,37,78,38,73,82,52,29,115,48,42,64,44,86,33,67,92,32,82,42,25,21,43,56,30,85,57,26,52,29,72,69,82,101,63,98,28,37,94,37,47,37,78,38,73,82,37,94,37,47,37,78,38,73,82,52,29,115,48,42,64,44,86,33,67,92,32,82
2014-06-27,100,74,30,23,17,34,64,23,51,68,80,68,98,65,94,26,41,99,62,55,39,74,28,56,98,44,22,85,72,42,73,48,66,34,63,87,31,84,40,35,27,41,54,33,81,59,18,45,30,61,80,68,98,65,94,26,41,99,62,55,39,74,28,56,98,41,99,62,55,39,74,28,56,98,44,22,85,72,42,73,48,66,34,63,87,31,84
2014-06-28,100,70,45,23,24,26,69,23,75,80,78,76,107,57,111,30,37,95,53,60,39,106,33,85,97,53,24,115,83,62,65,59,87,26,77,87,42,103,54,21,30,36,77,37,84,69,24,55,33,76,78,76,107,57,111,30,37,95,53,60,39,106,33,85,97,37,95,53,60,39,106,33,85,97,53,24,115,83,62,65,59,87,26,77,87,42,103
2014-06-29,101,64,53,29,23,42,66,29,73,86,91,78,117,66,123,38,47,106,56,55,38,110,40,71,115,47,33,105,83,47,68,63,95,42,69,110,41,124,58,24,19,48,64,34,91,67,28,64,39,83,91,78,117,66,123,38,47,106,56,55,38,110,40,71,115,47,106,56,55,38,110,40,71,115,47,33,105,83,47,68,63,95,42,69,110,41,124
2014-06-30,68,51,22,18,9,18,48,18,50,59,57,55,79,50,78,19,32,74,25,45,32,76,17,55,78,50,15,62,52,33,30,45,53,18,50,81,21,55,41,22,18,30,44,33,77,52,20,34,28,53,57,55,79,50,78,19,32,74,25,45,32,76,17,55,78,32,74,25,45,32,76,17,55,78,50,15,62,52,33,30,45,53,18,50,81,21,55
2014-07-01,81,61,27,19,15,36,55,19,61,82,70,60,90,58,100,16,27,85,53,53,31,63,33,71,89,59,22,97,79,41,58,53,78,36,74,67,26,99,45,29,16,27,58,27,84,58,15,42,28,65,70,60,90,58,100,16,27,85,53,53,31,63,33,71,89,27,85,53,53,31,63,33,71,89,59,22,97,79,41,58,53,78,36,74,67,26,99
2014-07-02,73,59,35,24,20,23,50,24,51,78,78,57,96,62,99,31,30,78,31,44,34,93,28,73,87,54,25,101,71,37,71,43,64,23,76,80,28,77,53,37,26,38,52,38,80,57,24,51,34,60,78,57,96,62,99,31,30,78,31,44,34,93,28,73,87,30,78,31,44,34,93,28,73,87,54,25,101,71,37,71,43,64,23,76,80,28,77
2014-07-03,82,68,34,21,20,24,53,21,58,70,65,78,92,62,104,26,29,85,43,45,55,108,29,61,100,48,25,90,99,49,64,46,75,24,70,86,28,96,53,32,23,46,48,29,87,74,20,68,40,69,65,78,92,62,104,26,29,85,43,45,55,108,29,61,100,29,85,43,45,55,108,29,61,100,48,25,90,99,49,64,46,75,24,70,86,28,96
2014-07-04,85,56,48,30,28,35,68,30,52,98,72,79,90,64,101,26,36,104,55,54,33,88,34,76,107,54,33,105,104,44,48,60,84,35,76,93,30,98,52,36,23,43,53,51,83,65,32,67,30,66,72,79,90,64,101,26,36,104,55,54,33,88,34,76,107,36,104,55,54,33,88,34,76,107,54,33,105,104,44,48,60,84,35,76,93,30,98
2014-07-05,96,58,53,31,21,41,74,31,73,71,82,64,77,62,98,30,39,106,60,66,44,101,37,86,99,63,39,87,75,55,74,49,101,41,88,93,33,111,55,40,27,40,55,25,88,65,32,60,37,87,82,64,77,62,98,30,39,106,60,66,44,101,37,86,99,39,106,60,66,44,101,37,86,99,63,39,87,75,55,74,49,101,41,88,93,33,111
2014-07-06,100,77,39,28,24,28,72,28,60,116,76,95,108,74,113,41,49,126,51,59,46,94,37,90,101,68,39,118,108,56,90,56,83,28,84,100,49,105,53,44,33,44,76,31,132,67,30,77,42,76,76,95,108,74,113,41,49,126,51,59,46,94,37,90,101,49,126,51,59,46,94,37,90,101,68,39,118,108,56,90,56,83,28,84,100,49,105
2014-07-07,56,38,37,19,16,22,51,19,49,82,76,58,70,63,71,18,31,76,40,36,37,61,23,64,68,50,18,83,58,29,41,33,55,22,55,66,26,80,30,28,23,30,45,21,66,53,19,40,32,44,76,58,70,63,71,18,31,76,40,36,37,61,23,64,68,31,76,40,36,37,61,23,64,68,50,18,83,58,29,41,33,55,22,55,66,26,80
2014-07-08,100,56,37,29,24,29,52,29,47,78,72,75,86,71,87,34,23,79,47,52,49,88,26,72,69,63,17,115,84,37,56,44,61,29,57,69,33,69,41,30,15,37,49,32,99,61,21,53,27,57,72,75,86,71,87,34,23,79,47,52,49,88,26,72,69,23,79,47,52,49,88,26,72,69,63,17,115,84,37,56,44,61,29,57,69,33,69
2014-07-09,75,58,27,21,26,33,57,21,48,73,71,73,88,78,77,24,33,94,50,56,27,72,34,77,85,41,32,85,69,57,66,38,66,33,92,67,28,69,55,26,26,35,45,20,89,54,16,47,31,74,71,73,88,78,77,24,33,94,50,56,27,72,34,77,85,33,94,50,56,27,72,34,77,85,41,32,85,69,57,66,38,66,33,92,67,28,69
2014-07-10,78,55,44,32,23,36,62,32,60,81,81,82,97,68,83,27,37,112,33,57,50,83,20,84,101,58,24,105,79,30,59,41,63,36,61,101,43,90,46,46,22,31,49,32,81,57,26,53,38,56,81,82,97,68,83,27,37,112,33,57,50,83,20,84,101,37,112,33,57,50,83,20,84,101,58,24,105,79,30,59,41,63,36,61,101,43,90
2014-07-11,77,58,46,29,17,41,63,29,58,96,91,77,83,67,113,25,30,99,54,62,49,86,30,93,86,51,21,90,83,46,76,53,92,41,76,104,49,72,45,36,17,39,52,35,101,85,26,62,23,72,91,77,83,67,113,25,30,99,54,62,49,86,30,93,86,30,99,54,62,49,86,30,93,86,51,21,90,83,46,76,53,92,41,76,104,49,72
2014-07-12,73,73,35,29,28,38,76,29,54,86,93,88,105,79,102,18,38,117,53,49,55,109,23,89,95,56,29,105,89,58,77,50,75,38,93,80,40,83,64,41,33,46,68,29,104,77,31,78,31,68,93,88,105,79,102,18,38,117,53,49,55,109,23,89,95,38,117,53,49,55,109,23,89,95,56,29,105,89,58,77,50,75,38,93,80,40,83
2014-07-13,105,102,38,22,18,39,71,22,74,89,80,106,116,70,137,27,44,90,46,50,59,121,41,91,120,58,24,131,103,59,83,53,74,39,108,100,43,117,62,39,33,40,80,45,108,71,26,63,39,73,80,106,116,70,137,27,44,90,46,50,59,121,41,91,120,44,90,46,50,59,121,41,91,120,58,24,131,103,59,83,53,74,39,108,100,43,117
2014-07-14,57,52,36,25,9,22,47,25,35,62,54,63,63,61,53,19,36,66,47,52,40,75,19,48,74,50,24,74,75,29,40,45,76,22,54,80,20,67,29,34,16,35,50,20,67,48,20,48,22,62,54,63,63,61,53,19,36,66,47,52,40,75,19,48,74,36,66,47,52,40,75,19,48,74,50,24,74,75,29,40,45,76,22,54,80,20,67
2014-07-15,77,61,39,22,17,19,51,22,62,81,83,67,78,49,96,28,28,93,43,46,49,67,25,71,75,39,20,88,62,40,62,48,61,19,75,67,40,70,55,22,30,39,42,24,79,71,17,63,41,73,83,67,78,49,96,28,28,93,43,46,49,67,25,71,75,28,93,43,46,49,67,25,71,75,39,20,88,62,40,62,48,61,19,75,67,40,70
2014-07-16,87,53,31,21,27,28,62,21,51,65,78,71,79,46,104,27,40,80,45,57,37,81,33,64,97,42,17,97,64,37,52,53,74,28,68,71,32,86,37,23,24,28,47,38,91,57,30,55,32,81,78,71,79,46,104,27,40,80,45,57,37,81,33,64,97,40,80,45,57,37,81,33,64,97,42,17,97,64,37,52,53,74,28,68,71,32,86
2014-07-17,84,73,28,26,20,28,79,26,53,90,71,67,86,50,104,26,44,94,43,54,43,87,29,94,92,57,27,84,81,36,69,43,72,28,78,91,24,75,61,29,17,37,60,46,90,64,21,56,36,78,71,67,86,50,104,26,44,94,43,54,43,87,29,94,92,44,94,43,54,43,87,29,94,92,57,27,84,81,36,69,43,72,28,78,91,24,75
2014-07-18,98,71,52,21,24,22,74,21,80,78,74,87,102,70,107,29,34,101,48,57,42,108,24,83,84,67,37,98,80,44,73,41,73,22,76,93,30,92,52,31,21,44,54,33,80,57,29,64,40,92,74,87,102,70,107,29,34,101,48,57,42,108,24,83,84,34,101,48,57,42,108,24,83,84,67,37,98,80,44,73,41,73,22,76,93,30,92
2014-07-19,87,72,58,32,18,31,84,32,57,86,80,84,109,63,109,33,40,116,58,55,47,100,47,82,110,68,22,104,87,63,52,53,80,31,69,90,32,87,59,40,29,44,59,39,108,60,21,70,39,89,80,84,109,63,109,33,40,116,58,55,47,100,47,82,110,40,116,58,55,47,100,47,82,110,68,22,104,87,63,52,53,80,31,69,90,32,87
2014-07-20,94,75,65,40,28,33,74,40,69,80,95,86,104,67,109,38,42,114,54,57,48,84,48,78,103,62,22,110,86,52,73,64,84,33,67,99,33,104,55,37,22,52,59,52,106,88,26,55,37,103,95,86,104,67,109,38,42,114,54,57,48,84,48,78,103,42,114,54,57,48,84,48,78,103,62,22,110,86,52,73,64,84,33,67,99,33,104
2014-07-21,69,70,24,20,15,31,49,20,57,55,72,64,74,75,71,20,29,73,37,48,35,69,25,64,83,49,22,78,56,40,53,37,72,31,63,83,24,77,38,27,26,36,52,29,83,55,22,56,29,59,72,64,74,75,71,20,29,73,37,48,35,69,25,64,83,29,73,37,48,35,69,25,64,83,49,22,78,56,40,53,37,72,31,63,83,24,77
2014-07-22,86,71,25,32,17,19,58,32,48,67,60,65,101,55,94,20,29,93,27,56,62,79,31,75,98,49,23,90,79,28,57,42,73,19,69,71,38,78,58,28,16,36,55,29,79,66,25,57,42,61,60,65,101,55,94,20,29,93,27,56,62,79,31,75,98,29,93,27,56,62,79,31,75,98,49,23,90,79,28,57,42,73,19,69,71,38,78
2014-07-23,79,66,43,26,20,28,55,26,53,89,64,55,90,59,82,26,39,67,41,44,36,92,31,64,65,62,20,93,68,38,68,42,72,28,53,68,33,88,51,23,18,38,59,25,89,48,19,57,23,69,64,55,90,59,82,26,39,67,41,44,36,92,31,64,65,39,67,41,44,36,92,31,64,65,62,20,93,68,38,68,42,72,28,53,68,33,88
2014-07-24,91,65,38,23,21,30,72,23,64,88,79,81,95,55,115,37,39,83,40,47,38,73,34,68,73,40,23,94,75,47,51,42,80,30,68,75,27,89,52,51,31,33,56,33,104,64,26,49,27,66,79,81,95,55,115,37,39,83,40,47,38,73,34,68,73,39,83,40,47,38,73,34,68,73,40,23,94,75,47,51,42,80,30,68,75,27,89
2014-07-25,89,74,37,31,22,36,67,31,52,89,73,81,104,61,110,26,40,104,35,62,48,110,38,103,87,58,27,93,86,48,70,50,75,36,93,85,35,101,56,35,32,38,61,31,100,64,22,54,44,82,73,81,104,61,110,26,40,104,35,62,48,110,38,103,87,40,104,35,62,48,110,38,103,87,58,27,93,86,48,70,50,75,36,93,85,35,101
2014-07-26,91,73,51,30,18,36,82,30,44,96,91,105,104,69,101,32,34,95,51,64,56,116,47,63,82,53,28,117,101,52,78,56,83,36,81,102,39,110,51,45,22,39,73,40,100,76,26,71,33,93,91,105,104,69,101,32,34,95,51,64,56,116,47,63,82,34,95,51,64,56,116,47,63,82,53,28,117,101,52,78,56,83,36,81,102,39,110
2014-07-27,100,92,43,29,26,38,84,29,79,85,96,74,120,71,131,36,42,123,64,59,52,120,45,102,104,71,25,112,75,59,80,55,86,38,98,94,44,95,62,44,32,43,76,29,102,67,39,85,35,94,96,74,120,71,131,36,42,123,64,59,52,120,45,102,104,42,123,64,59,52,120,45,102,104,71,25,112,75,59,80,55,86,38,98,94,44,95
2014-07-28,63,48,31,14,6,22,58,14,45,53,61,50,72,55,82,28,18,64,35,34,46,86,27,69,80,42,15,84,63,35,49,44,73,22,55,75,16,77,33,28,18,30,41,26,65,41,16,61,11,59,61,50,72,55,82,28,18,64,35,34,46,86,27,69,80,18,64,35,34,46,86,27,69,80,42,15,84,63,35,49,44,73,22,55,75,16,77
2014-07-29,88,71,36,17,27,24,55,17,59,77,83,81,91,70,93,30,31,85,43,44,48,84,36,73,88,43,21,87,80,35,53,57,84,24,56,96,30,87,44,37,19,36,47,27,77,64,15,63,31,83,83,81,91,70,93,30,31,85,43,44,48,84,36,73,88,31,85,43,44,48,84,36,73,88,43,21,87,80,35,53,57,84,24,56,96,30,87
2014-07-30,75,64,37,25,13,33,59,25,55,71,65,55,67,63,98,24,29,75,50,43,40,106,26,80,73,29,24,83,87,31,53,61,78,33,60,70,34,88,56,25,27,31,50,23,103,60,26,55,28,56,65,55,67,63,98,24,29,75,50,43,40,106,26,80,73,29,75,50,43,40,106,26,80,73,29,24,83,87,31,53,61,78,33,60,70,34,88
2014-07-31,82,69,30,23,26,28,62,23,50,91,75,82,92,53,103,42,25,102,50,48,45,84,30,63,95,48,34,96,70,48,62,45,82,28,69,97,29,80,49,33,20,37,41,33,101,67,21,60,34,81,75,82,92,53,103,42,25,102,50,48,45,84,30,63,95,25,102,50,48,45,84,30,63,95,48,34,96,70,48,62,45,82,28,69,97,29,80
2014-08-01,82,66,34,21,24,23,47,21,54,76,76,74,97,47,87,28,28,79,35,35,47,64,30,50,84,43,30,95,71,42,59,47,75,23,80,69,26,83,45,22,22,46,57,19,77,65,20,49,33,70,76,74,97,47,87,28,28,79,35,35,47,64,30,50,84,28,79,35,35,47,64,30,50,84,43,30,95,71,42,59,47,75,23,80,69,26,83
2014-08-02,85,71,43,18,15,19,54,18,58,76,66,65,90,66,100,22,41,84,50,46,51,92,34,61,98,55,22,89,94,33,62,42,82,19,62,100,41,64,50,37,23,39,67,34,83,71,19,61,24,68,66,65,90,66,100,22,41,84,50,46,51,92,34,61,98,41,84,50,46,51,92,34,61,98,55,22,89,94,33,62,42,82,19,62,100,41,64
2014-08-03,97,86,45,38,19,33,68,38,62,85,80,89,88,65,95,27,45,83,48,49,50,91,30,70,83,57,20,99,87,54,65,49,64,33,82,86,35,95,40,36,23,36,60,37,90,63,26,67,36,87,80,89,88,65,95,27,45,83,48,49,50,91,30,70,83,45,83,48,49,50,91,30,70,83,57,20,99,87,54,65,49,64,33,82,86,35,95
2014-08-04,48,50,40,20,13,19,55,20,42,67,61,67,61,50,67,17,20,66,28,41,31,59,24,56,68,33,16,78,55,30,42,38,53,19,59,47,19,65,31,29,18,31,34,19,62,45,17,46,21,44,61,67,61,50,67,17,20,66,28,41,31,59,24,56,68,20,66,28,41,31,59,24,56,68,33,16,78,55,30,42,38,53,19,59,47,19,65
2014-08-05,73,48,36,23,17,24,54,23,35,67,50,71,70,62,55,29,37,58,31,41,32,65,24,49,86,25,22,77,55,45,58,41,62,24,70,69,30,86,45,29,18,34,45,25,69,61,15,43,22,61,50,71,70,62,55,29,37,58,31,41,32,65,24,49,86,37,58,31,41,32,65,24,49,86,25,22,77,55,45,58,41,62,24,70,69,30,86
2014-08-06,65,48,39,24,17,30,49,24,47,70,59,60,84,48,89,20,33,92,47,49,45,88,22,58,62,33,16,93,53,29,51,31,59,30,60,68,21,71,38,17,16,27,53,20,71,53,12,37,30,59,59,60,84,48,89,20,33,92,47,49,45,88,22,58,62,33,92,47,49,45,88,22,58,62,33,16,93,53,29,51,31,59,30,60,68,21,71
2014-08-07,84,63,34,25,21,34,62,25,53,74,65,86,70,62,81,29,31,76,37,43,40,91,29,55,62,53,21,88,63,43,81,41,69,34,52,63,26,86,44,33,24,23,50,22,76,57,23,46,35,64,65,86,70,62,81,29,31,76,37,43,40,91,29,55,62,31,76,37,43,40,91,29,55,62,53,21,88,63,43,81,41,69,34,52,63,26,86
2014-08-08,84,49,41,17,22,27,63,17,51,66,83,69,91,71,96,26,29,78,42,43,35,87,23,75,88,51,27,85,63,58,59,30,83,27,54,89,33,74,51,25,16,39,42,30,81,63,27,62,27,70,83,69,91,71,96,26,29,78,42,43,35,87,23,75,88,29,78,42,43,35,87,23,75,88,51,27,85,63,58,59,30,83,27,54,89,33,74
